f,node,mean,std,n,ci95
10,mohamed-1,73.52030303030303,4.9018251927288015,10,3.038182730999302
10,rpi-02,14.59142857142857,0.7376352893577017,10,0.45719108898998884
10,rpi-03,23.78142857142857,4.096361633744844,10,2.538951244942984
25,mohamed-1,63.32916585742704,6.08233991456463,10,3.769873336142123
25,rpi-02,70.06633986928105,4.041318889535311,10,2.504835398630823
25,rpi-03,54.64027777777778,2.851344593864193,10,1.767281688881249
30,mohamed-1,59.312654947373304,5.7209071555961675,10,3.54585499123168
30,rpi-02,37.32827485380117,42.70653230169265,10,26.46978295601678
30,rpi-03,37.076649958228906,33.791124987006285,10,20.943956253040025
50,mohamed-1,44.76492612942613,4.061876476801629,10,2.5175771232268342
50,rpi-02,11.38960113960114,23.2410191370115,10,14.404932900837379
50,rpi-03,11.464672364672364,18.342661448251608,10,11.368899351064215
