f,node,mean,std,n,ci95
10,mohamed-1,100.0,0.0,10,0.0
10,rpi-02,171.8,20.7192878470494,10,12.841947654291213
10,rpi-03,191.0,35.93821859184948,10,22.27473865665369
25,mohamed-1,100.0,0.0,10,0.0
25,rpi-02,391.6,18.951399831029775,10,11.746199309658513
25,rpi-03,338.3,33.957653367425465,10,21.04717161256801
30,mohamed-1,100.0,0.0,10,0.0
30,rpi-02,164.6,202.60097619595902,10,125.57338602674622
30,rpi-03,168.0,199.67417904620962,10,123.7593383592168
50,mohamed-1,100.0,0.0,10,0.0
50,rpi-02,46.9,124.06848467233284,10,76.89844349241119
50,rpi-03,47.8,123.75226148326429,10,76.70244632923311
