timestamp,cpu_usage
1778603746,100
1778603747,100
1778603748,12.8
1778603749,11.4
1778603751,12.3
1778603752,12.2
1778603753,12.2
1778603754,18.3
1778603755,12
1778603757,100
1778603758,100
1778603759,4.8
1778603760,100
1778603761,100
1778603763,100
1778603764,2.4
1778603765,100
1778603766,100
1778603767,100
1778603769,100
1778603770,100
1778603771,100
1778603772,1.2
1778603774,100
1778603775,100
1778603776,100
1778603777,100
1778603778,100
1778603780,100
1778603781,1.2
1778603782,100
1778603783,100
1778603784,1.2
1778603786,100
1778603787,100
1778603788,100
1778603789,5.1
1778603790,100
1778603792,100
1778603793,100
1778603794,100
1778603795,100
1778603797,100
1778603798,100
1778603799,5.3
1778603800,100
1778603801,12.5
1778603803,100
1778603804,100
1778603805,100
1778603806,100
1778603807,100
1778603809,100
1778603810,100
1778603811,100
1778603812,100
1778603813,100
1778603815,2.4
1778603816,1.2
1778603817,13.3
1778603818,12.2
1778603820,16
1778603821,15.2
1778603822,16.9
