f,p,mean,std,n,ci95
10,0.0,0.15399213412823917,4.935613441141745e-05,10,3.059124904333267e-05
10,0.5,0.15399310750053802,4.849416576262775e-05,10,3.0056995339773362e-05
10,1.0,0.15401353196074616,5.754181723109577e-05,10,3.5664787818455664e-05
20,0.0,0.08713210344051273,3.284566788645125e-05,10,2.0357955870964407e-05
20,0.5,0.08712875147331403,3.368124955761688e-05,10,2.087585475635116e-05
20,1.0,0.08714063019201497,3.5527516572434155e-05,10,2.2020182907740995e-05
30,0.0,0.0607613820398273,0.00010405778252355199,10,6.449568180401406e-05
30,0.5,0.0607962499821747,2.216295611632067e-05,10,1.3736742517946868e-05
30,1.0,0.060780744230354365,6.794464399719666e-05,10,4.2112526648724e-05
40,0.0,0.04670485465982027,1.7085636978781895e-05,10,1.0589787513038753e-05
40,0.5,0.04668843670250446,4.640358983061211e-05,10,2.8761242952700406e-05
40,1.0,0.04670062452803523,2.455216664466037e-05,10,1.5217590545471579e-05
50,0.0,0.03790511076385048,6.775415162483259e-05,10,4.1994458253106365e-05
50,0.5,0.03793640061520019,2.3957576369710827e-05,10,1.4849059674960023e-05
50,1.0,0.037904424266009956,8.82690800895855e-05,10,5.47097426499783e-05
