f,run,num_functions_seen,avg_of_function_max
15,0,15,1.0
15,1,15,1.0
15,2,15,1.0
15,3,15,1.0
15,4,15,1.0
15,5,15,1.0
15,6,15,1.0
15,7,15,1.0
15,8,15,1.0
15,9,15,1.0
25,0,25,1.0
25,1,25,1.0
25,2,25,1.0
25,3,25,1.0
25,4,25,1.0
25,5,25,1.0
25,6,25,1.0
25,7,25,1.0
25,8,25,1.0
25,9,25,1.0
35,0,35,1.0
35,1,35,1.0
35,2,35,1.0
35,3,35,1.0
35,4,35,1.0
35,5,35,1.0
35,6,35,1.0
35,7,35,1.0
35,8,35,1.0
35,9,35,1.0
50,0,50,1.0
50,1,50,1.0
50,2,50,1.0
50,3,50,1.0
50,4,50,1.0
50,5,50,1.0
50,6,50,1.0
50,7,50,1.0
50,8,50,1.0
50,9,50,1.0
75,0,75,1.0
75,1,75,1.0
75,2,75,1.0
75,3,75,1.0
75,4,75,1.0
75,5,75,1.0
75,6,75,1.0
75,7,75,1.0
75,8,75,1.0
75,9,75,1.0
100,0,100,1.0
100,1,100,1.0
100,2,100,1.0
100,3,100,1.0
100,4,100,1.0
100,5,100,1.0
100,6,100,1.0
100,7,100,1.0
100,8,100,1.0
100,9,100,1.0
